,DP05_0001E,state,county,tract,DP02_0001E,DP03_0062E,DP03_0063E,DP03_0119E
1291,2662,17,031,839800,1121,77560,89268,-888888888
1292,4558,17,031,839900,2099,100217,118365,-888888888
1293,2651,17,031,840000,1067,105481,128404,-888888888
1294,2880,17,031,840100,1148,66765,79770,-888888888
1295,2198,17,031,840200,827,41359,70397,-888888888
1296,3646,17,031,840300,1258,65909,99258,-888888888
1297,3434,17,031,840400,1168,71667,87595,-888888888
1298,3930,17,031,840700,1256,97727,105385,-888888888
1299,3258,17,031,840800,932,45326,58744,-888888888
1300,1148,17,031,841000,665,103750,120743,-888888888
1301,6990,17,031,841100,2838,48542,71346,-888888888
1302,4414,17,031,841200,1727,60498,68537,-888888888
1303,4317,17,031,841300,1916,79744,103308,-888888888
1304,1909,17,031,841500,785,26950,45724,-888888888
1305,1137,17,031,841700,600,24663,46566,-888888888
1306,2330,17,031,841800,894,45294,63531,-888888888
1307,5983,17,031,841900,1592,131803,166671,-888888888
1308,2794,17,031,842000,357,116875,138857,-888888888
1309,7110,17,031,842100,2064,50907,74358,-888888888
1310,3602,17,031,842200,2351,102036,161083,-888888888
1311,3672,17,031,842300,1703,167407,202143,-888888888
1312,3207,17,031,842400,1473,72616,79646,-888888888
1313,2449,17,031,842500,930,27955,37824,-888888888
1314,4540,17,031,842600,1551,90521,106498,-888888888
1315,6069,17,031,842800,2047,49020,57185,-888888888
1316,3216,17,031,842900,1445,19304,46798,-888888888
1317,2399,17,031,843000,1022,23587,34813,-888888888
1318,1564,17,031,843100,481,46659,78969,-888888888
1319,2348,17,031,843200,1015,66172,84221,-888888888
1320,1572,17,031,843300,393,41250,56996,-888888888
1321,1209,17,031,843400,490,32404,48256,-888888888
1322,9398,17,031,843500,257,52875,55261,-888888888
1323,2966,17,031,843600,1478,55250,72656,-888888888
1324,2453,17,031,843700,1017,191384,254636,-888888888
1325,1479,17,031,843800,719,32095,53297,-888888888
1326,3700,17,031,843900,2201,56926,58446,-888888888
1327,2275,17,031,844600,828,54565,81739,-888888888
1328,1753,17,031,844700,647,51298,65597,-888888888
1329,0,17,031,980000,0,-666666666,-666666666,-888888888
1330,0,17,031,980100,0,-666666666,-666666666,-888888888
1331,0,17,031,990000,0,-666666666,-666666666,-888888888
