,CensusTract,LowIncomeTracts_2010,LowIncomeTracts_2015,LowIncomeTracts_2019,LATracts_half_2010,LATracts_half_2015,LATracts_half_2019
76,17019001302,0,0,0,1,1,1
77,17019001400,0,0,0,1,1,1
78,17019005300,1,1,1,1,1,1
79,17019005401,1,1,1,1,1,1
80,17019005402,1,0,0,1,1,1
81,17019005500,1,0,0,1,1,1
82,17019005600,0,1,1,1,1,1
83,17019005701,0,1,0,1,1,1
84,17019005702,1,0,1,1,1,1
85,17019005800,1,1,1,1,1,1
86,17019005900,1,1,1,1,1,1
87,17019006000,1,1,1,1,1,1
88,17019010100,1,1,1,1,1,1
89,17019010204,0,1,1,1,1,1
90,17019010300,1,1,1,1,1,1
91,17019010400,0,0,0,1,0,0
92,17019010500,0,0,0,1,0,0
93,17019010601,0,0,0,1,1,1
94,17019010603,0,0,0,1,1,1
95,17019010604,0,0,0,1,1,1
96,17019010700,0,0,0,1,0,0
97,17019010800,0,0,0,1,0,0
98,17019010900,0,0,0,1,1,1
99,17019011000,1,1,0,1,1,1
100,17019011100,1,1,1,0,1,0
101,17021958100,0,0,0,1,0,0
102,17021958200,0,0,0,1,0,0
103,17021958300,1,1,1,1,1,1
104,17021958400,1,1,1,1,1,1
105,17021958500,1,0,1,1,1,1
106,17021958600,0,0,0,1,0,0
107,17021958700,1,0,0,1,0,0
108,17021958800,1,1,1,1,1,1
109,17021958900,1,1,1,1,1,1
110,17021959000,0,0,0,1,0,0
111,17023060100,0,0,0,1,0,0
112,17023060200,0,0,1,1,1,1
113,17023060300,1,1,1,1,0,0
114,17023060400,1,1,0,1,0,0
115,17025971900,1,0,0,1,0,0
116,17025972000,1,1,1,1,0,0
117,17025972100,1,1,1,1,1,1
118,17025972200,1,0,1,1,0,0
119,17027900100,0,0,0,1,0,0
120,17027900200,0,0,0,1,0,0
121,17027900300,0,0,0,1,1,1
122,17027900401,1,1,1,1,0,0
123,17027900402,0,0,1,1,0,0
124,17027900500,1,1,1,1,0,0
125,17027900601,0,0,0,1,0,0
126,17027900602,0,0,0,1,0,0
127,17029000100,0,1,1,1,0,0
128,17029000200,0,0,0,1,1,1
129,17029000300,0,1,1,1,1,1
130,17029000400,1,1,1,1,1,1
131,17029000500,1,1,1,1,1,1
132,17029000600,0,0,0,1,0,0
133,17029000700,1,1,1,1,1,1
134,17029000800,1,1,1,1,1,1
135,17029000900,0,0,0,1,1,1
136,17029001000,1,0,1,1,1,1
137,17029001100,1,1,1,1,1,1
138,17029001200,1,1,1,1,1,1
139,17031010100,1,1,1,1,1,1
140,17031010201,1,1,1,0,0,0
141,17031010202,1,1,1,0,0,0
142,17031010300,1,1,1,1,1,1
143,17031010400,0,0,1,0,0,0
144,17031010501,1,1,1,0,0,0
145,17031010502,1,1,1,0,0,0
146,17031010503,1,1,1,0,0,0
147,17031010600,1,0,1,0,0,0
148,17031010701,0,1,1,0,0,0
149,17031010702,1,1,1,0,0,0
150,17031020100,1,1,1,0,0,0
151,17031020200,0,0,0,0,0,0
152,17031020301,0,0,0,1,1,1
153,17031020302,0,0,1,1,1,1
154,17031020400,0,0,0,1,1,1
155,17031020500,1,1,1,0,0,0
156,17031020601,1,1,1,0,0,0
157,17031020602,1,1,1,1,1,1
158,17031020701,1,1,0,1,0,1
159,17031020702,1,1,1,0,0,0
160,17031020801,1,1,1,0,0,0
161,17031020802,0,1,1,0,0,0
162,17031020901,1,1,1,0,0,0
163,17031020902,1,1,1,0,0,0
164,17031030101,1,1,1,0,0,0
165,17031030102,1,0,0,0,0,0
166,17031030103,1,1,0,0,0,0
167,17031030104,1,1,1,0,0,0
168,17031030200,0,0,0,0,0,0
169,17031030300,1,1,1,1,1,0
170,17031030400,0,1,1,1,1,0
171,17031030500,0,0,0,0,0,0
172,17031030601,1,1,1,0,0,0
173,17031030603,1,1,1,0,0,0
174,17031030604,0,0,1,0,0,0
175,17031030701,1,1,1,0,0,0
176,17031030702,0,1,0,0,0,0
177,17031030703,1,1,1,0,0,0
178,17031030706,0,0,1,0,0,0
179,17031030800,0,0,0,0,0,0
180,17031030900,0,0,0,0,0,0
181,17031031000,0,0,0,0,0,0
182,17031031100,0,0,0,0,0,0
183,17031031200,1,1,1,0,0,0
184,17031031300,1,1,1,0,0,0
185,17031031400,0,0,0,0,0,0
186,17031031501,1,1,1,0,0,0
187,17031031502,1,1,1,0,0,0
188,17031031700,1,1,1,0,0,0
189,17031031800,0,1,0,0,0,0
190,17031031900,0,0,0,1,0,0
191,17031032100,1,0,1,0,0,0
192,17031040100,0,0,0,1,1,1
193,17031040201,0,0,0,0,0,0
194,17031040202,1,1,1,0,0,0
195,17031040300,0,0,0,1,0,1
196,17031040401,0,0,0,1,0,0
197,17031040402,0,0,0,1,0,0
198,17031040600,0,0,0,1,0,0
199,17031040700,0,0,0,0,0,0
200,17031040800,0,0,0,0,0,0
201,17031040900,0,0,0,0,0,0
202,17031050100,0,0,0,0,0,0
203,17031050200,0,0,0,0,0,0
204,17031050300,0,0,0,0,0,0
