Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
1544166,Happy Hour Market Tobacco And Grocery Inc,1654 E 87th St,,Chicago,IL,60617,2727,COOK,Convenience Store,41.73719,-87.58297,,,209429
1544826,Max Market,7900 S Drexel Ave,,Chicago,IL,60619,4106,COOK,Convenience Store,41.751122,-87.603104,,,209595
1544931,Austin Dollar & Grocery Inc.,5941 W Diversey Ave,,Chicago,IL,60639,1137,COOK,Grocery Store,41.930923,-87.775215,,,209644
1544589,7-Eleven Store 41961H,3743 S Archer Ave,,Chicago,IL,60632,1011,COOK,Convenience Store,41.825329,-87.685753,,,209651
1509053,Am Moon Mart,2516 E 79th St,,Chicago,IL,60649,5102,COOK,Grocery Store,41.752022,-87.563026,,,209761
1544640,Pierre's Bakery At Chicago Avenue,1956 W Chicago Ave,,Chicago,IL,60622,5383,COOK,Specialty Store,41.896008,-87.676765,,,209796
1509457,Presence Chicago Hospital Network,2233 W Division St,,Chicago,IL,60622,8151,COOK,Farmers and Markets,41.902409,-87.683273,,,209980
1544992,43rd Food & Tobacco,200 E 43rd St,,Chicago,IL,60653,3210,COOK,Convenience Store,41.816784,-87.621178,,,210242
1189811,Carniceria Maribel,1801 W Cermak Rd,,Chicago,IL,60608,4303,COOK,Grocery Store,41.852215,-87.671112,,,210420
1116377,Makola African Supermarket 1,1017 W Wilson Ave,,Chicago,IL,60640,5614,COOK,Grocery Store,41.965374,-87.655815,,,210450
1209513,Marathon,1839 E 95th St,,Chicago,IL,60617,4709,COOK,Convenience Store,41.72242,-87.578796,,,210458
1546032,The Guys Convenience,9140 S Commercial Ave,,Chicago,IL,60617,4307,COOK,Convenience Store,41.728905,-87.551636,,,210526
1546044,Wally Food Mart Inc,559 W 103rd St,,Chicago,IL,60628,2499,COOK,Convenience Store,41.70681,-87.637802,,,210537
1545316,Mandir Inc,847 W 87th St,,Chicago,IL,60620,3200,COOK,Grocery Store,41.735676,-87.645638,,,210731
1085151,Magic Food Inc,6020 W North Ave,,Chicago,IL,60639,3927,COOK,Convenience Store,41.909286,-87.776154,,,210749
1172297,BP Gas Station,5201 W Jackson Blvd,,Chicago,IL,60644,4335,COOK,Convenience Store,41.876381,-87.755341,,,210753
1545853,Sweet Treats Chicago,4731 1/2 S Ashland Ave,,Chicago,IL,60609,4232,COOK,Convenience Store,41.807671,-87.664642,,,210785
1263105,Serrellis Finer Foods,6454 W North Ave,,Chicago,IL,60707,4031,COOK,Grocery Store,41.909149,-87.787064,,,211014
1270920,Community Grocery,3336 W Bryn Mawr Ave,,Chicago,IL,60659,4511,COOK,Grocery Store,41.983059,-87.712791,,,211021
1547393,Jerusalem # 1 Food,3637 W Division St,,Chicago,IL,60651,2219,COOK,Grocery Store,41.90242,-87.717995,,,211145
1489242,7900 Food & Fuel,7900 S Lafayette Ave,,Chicago,IL,60620,1144,COOK,Convenience Store,41.750786,-87.625999,,,211200
1547156,Wentworth Meat & Produce,10701 S Wentworth Ave,,Chicago,IL,60628,3342,COOK,Grocery Store,41.69968,-87.627747,,,211257
1488861,Plant Chicago,4459 S Marshfield Ave,,Chicago,IL,60609,3148,COOK,Other,41.812386,-87.665955,,,211428
1488750,4629 Petroleum,4629 S Cicero Ave,,Chicago,IL,60632,4819,COOK,Convenience Store,41.808861,-87.742683,,,211505
1546781,Maher Trucking Inc,3259 W North Ave,,Chicago,IL,60647,4913,COOK,Convenience Store,41.909794,-87.70929,,,211594
1547014,Red Star Liquor & Deli,2725 N Milwaukee Ave,,Chicago,IL,60647,1336,COOK,Convenience Store,41.930752,-87.709686,,,211682
1547029,Aj Oil Group Inc,7550 N Sheridan Rd,,Chicago,IL,60626,1429,COOK,Convenience Store,42.018932,-87.666412,,,211731
1488363,Public Closeout,5941 W Division St,,Chicago,IL,60651,1034,COOK,Grocery Store,41.901855,-87.774498,,,211777
1546889,Sunrise Food And Liquor,3737 W Chicago Ave,,Chicago,IL,60651,3822,COOK,Convenience Store,41.895134,-87.720299,,,211995
1489645,Joe's Food,4404 S Wood St,,Chicago,IL,60609,3152,COOK,Convenience Store,41.813766,-87.670227,,,212084
1509608,A. A. A. Food And Mini Mart Inc,5300 W Harrison St,,Chicago,IL,60644,5023,COOK,Convenience Store,41.873119,-87.757591,,,212695
1540165,Jcbk Bp Gas Mart Inc,3057 S Kedzie Ave,,Chicago,IL,60623,4714,COOK,Convenience Store,41.837498,-87.704536,,,212729
1509774,M&th Group Inc,3743 W Chicago Ave,,Chicago,IL,60651,3822,COOK,Grocery Store,41.895226,-87.720474,,,212738
1509777,T H & H Group Inc,5401 W Augusta Blvd,,Chicago,IL,60651,2850,COOK,Convenience Store,41.898331,-87.760948,,,212749
1510366,3330 Kimball Inc.,3330 N Kimball Ave,,Chicago,IL,60618,5504,COOK,Convenience Store,41.94202,-87.713051,,,212973
1510450,7-eleven #29098f 29098F,4001 W 59th St,,Chicago,IL,60629,4511,COOK,Convenience Store,41.785591,-87.723244,,,213000
